distance_km,architecture,protocol,alpha,photon_path_km,eta,link_success_probability,end_to_end_fidelity,expected_attempts_analytic,expected_attempts_simulated,expected_seconds_analytic,expected_seconds_simulated
10.0,direct,Barrett-Kok,,5.0,0.7967034698934616,0.31736820947014094,1.0,3.1509142067806364,3.1766,3.1509142067806364e-06,3.1766000000000002e-06
10.0,one-repeater,Barrett-Kok,,2.5,0.8925824723203238,0.3983517349467308,1.0,3.4533380182897115,3.4361,3.4533380182897116e-06,3.4361e-06
10.0,direct,Single-click,0.05,5.0,0.7967034698934616,0.07808350594199547,0.95,12.806801999168078,12.8786,1.2806801999168078e-05,1.28786e-05
10.0,one-repeater,Single-click,0.05,2.5,0.8925824723203238,0.08726648855729874,0.9033333333333332,16.927322749621016,16.90555,1.6927322749621017e-05,1.6905550000000003e-05
10.0,direct,Single-click,0.1,5.0,0.7967034698934616,0.1529933297892895,0.9,6.536232666987853,6.6148,6.536232666987854e-06,6.6148e-06
10.0,one-repeater,Single-click,0.1,2.5,0.8925824723203238,0.17054945976513017,0.8133333333333334,8.52179651332614,8.4902,8.521796513326141e-06,8.4902e-06
10.0,direct,Single-click,0.2,5.0,0.7967034698934616,0.29329193119977337,0.8,3.4095721485050277,3.3885,3.409572148505028e-06,3.3885000000000003e-06
10.0,one-repeater,Single-click,0.2,2.5,0.8925824723203238,0.3251648501323911,0.6533333333333334,4.314507891193339,4.30995,4.314507891193339e-06,4.30995e-06
20.0,direct,Barrett-Kok,,10.0,0.6347364189402819,0.2014451607645665,1.0,4.964130169246024,4.95135,4.964130169246024e-06,4.95135e-06
20.0,one-repeater,Barrett-Kok,,5.0,0.7967034698934616,0.31736820947014094,1.0,4.429217766053884,4.43695,4.429217766053884e-06,4.436950000000001e-06
20.0,direct,Single-click,0.05,10.0,0.6347364189402819,0.06246641609020536,0.95,16.008602103183545,16.15695,1.6008602103183544e-05,1.6156949999999998e-05
20.0,one-repeater,Single-click,0.05,5.0,0.7967034698934616,0.07808350594199547,0.9033333333333332,18.950046014020543,19.0176,1.8950046014020542e-05,1.9017600000000002e-05
20.0,direct,Single-click,0.1,10.0,0.6347364189402819,0.12291838057276507,0.9,8.135479782114615,8.1561,8.135479782114615e-06,8.1561e-06
20.0,one-repeater,Single-click,0.1,5.0,0.7967034698934616,0.1529933297892895,0.8133333333333334,9.533640719854423,9.4864,9.533640719854424e-06,9.4864e-06
20.0,direct,Single-click,0.2,10.0,0.6347364189402819,0.23777895471494745,0.8,4.2055866600928296,4.1963,4.205586660092829e-06,4.1963e-06
20.0,one-repeater,Single-click,0.2,5.0,0.7967034698934616,0.29329193119977337,0.6533333333333334,4.821396579732388,4.8491,4.821396579732388e-06,4.8491e-06
30.0,direct,Barrett-Kok,,15.0,0.5056967074374725,0.12786457995655034,1.0,7.820774137292829,7.8231,7.820774137292828e-06,7.8231e-06
30.0,one-repeater,Barrett-Kok,,7.5,0.7111235528636867,0.25284835371873626,1.0,5.646229515062536,5.717,5.6462295150625354e-06,5.717e-06
